ScheduleActivityID,ActivityScheduleTaskID,Rel,TaskType,Predecessor,PredecessorScheduleTaskID
CWA ASU-1A02 - Set D131- BAC MOTOR,,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Set OVER HEAD CRANE,,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Set P222-1 MV Switchgear,20,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Set P222-2 MV Switchgear,20,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Set P412-1,,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Set P412E,,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A02 - Set P422-2 LV Switchgear,20,FS,Construct,CWA ASU-1A02 - Install Primary Steel,9
CWA ASU-1A03 - Install Cable Tray,26,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Install Concrete,6,FS,Construct,CWA ASU-1A03 - Install Piling,1
CWA ASU-1A03 - Install Electrical,32,FS,Construct,CWA ASU-1A03 - Install Piping,29
CWA ASU-1A03 - Install Grout,27,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Install Grout,27,FS,Construct,CWA ASU-1A03 - Set Equipment,23
CWA ASU-1A03 - Install Grout,27,FS,Construct,CWA ASU-1A03 - Install Concrete,6
CWA ASU-1A03 - Install Instrumentation,33,FS,Construct,CWA ASU-1A03 - Set Equipment,23
CWA ASU-1A03 - Install Instrumentation,33,FS,Construct,CWA ASU-1A03 - Install Piping,29
CWA ASU-1A03 - Install Misc Steel,10,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Install Piling,1,FS,Construct,,
CWA ASU-1A03 - Install Piping,29,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Install Piping Insulation,31,FS,Construct,CWA ASU-1A03 - Install Piping,29
CWA ASU-1A03 - Install Primary Steel,9,FS,Construct,CWA ASU-1A03 - Install Piling,1
CWA ASU-1A03 - Install Primary Steel,9,FS,Construct,CWA ASU-1A03 - Install Concrete,6
CWA ASU-1A03 - Set 101-C171 CHILLED WATER TOWER,,FS,Construct,CWA ASU-1A03 - Install Concrete,6
CWA ASU-1A03 - Set 101-C171 CHILLED WATER TOWER,,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Set 101-C182A TSA ADSORBER VESSEL,,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Set 101-C182B TSA ADSORBER VESSEL,,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Set 101-E182,,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Set 101-V184 DEPRESSURIZATION  VENT SILENCER,,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Set 101-V185 REACTIVATION VENT SILENCER,,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A03 - Set AHU-1 HVAC,,FS,Construct,,
CWA ASU-1A03 - Set AHU-2,,FS,Construct,,
CWA ASU-1A03 - Set Equipment,23,FS,Construct,CWA ASU-1A03 - Install Piling,1
CWA ASU-1A03 - Set Equipment,23,FS,Construct,CWA ASU-1A03 - Install Concrete,6
CWA ASU-1A03 - Set Equipment,23,FS,Construct,CWA ASU-1A03 - Install Primary Steel,9
CWA ASU-1A04 - Install Cable Tray,26,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Install Concrete,6,FS,Construct,CWA ASU-1A04 - Install Piling,1
CWA ASU-1A04 - Install Electrical,32,FS,Construct,CWA ASU-1A04 - Install Piping,29
CWA ASU-1A04 - Install Grout,27,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Install Grout,27,FS,Construct,CWA ASU-1A04 - Install Concrete,6
CWA ASU-1A04 - Install Instrumentation,33,FS,Construct,CWA ASU-1A04 - Install Piping,29
CWA ASU-1A04 - Install Misc Steel,10,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Install Piling,1,FS,Construct,,
CWA ASU-1A04 - Install Piping,29,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Install Piping Insulation,31,FS,Construct,CWA ASU-1A04 - Install Piping,29
CWA ASU-1A04 - Install Primary Steel,9,FS,Construct,CWA ASU-1A04 - Install Piling,1
CWA ASU-1A04 - Install Primary Steel,9,FS,Construct,CWA ASU-1A04 - Install Concrete,6
CWA ASU-1A04 - Set 101-C211,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-C212,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E201A,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E201B,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E201C,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E201D,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E217,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E2172,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E221,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E222,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E262,,FS,Construct,CWA ASU-1A04 - Install Primary Steel,9
CWA ASU-1A04 - Set 101-E871,,FS,Construct,,
CWA ASU-1A05 - Civil Works,7,FS,Construct,,
CWA ASU-1A05 - Install Cable Tray,26,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Install Concrete,6,FS,Construct,CWA ASU-1A05 - Install UG Conduit,8
CWA ASU-1A05 - Install Concrete,6,FS,Construct,CWA ASU-1A05 - Install Piling,1
CWA ASU-1A05 - Install Electrical,32,FS,Construct,CWA ASU-1A05 - Install Piping,29
CWA ASU-1A05 - Install Grout,27,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Install Grout,27,FS,Construct,CWA ASU-1A05 - Install Concrete,6
CWA ASU-1A05 - Install Instrumentation,33,FS,Construct,CWA ASU-1A05 - Install Piping,29
CWA ASU-1A05 - Install Misc Steel,10,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Install Piling,1,FS,Construct,,
CWA ASU-1A05 - Install Piping,29,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Install Piping Insulation,31,FS,Construct,CWA ASU-1A05 - Install Piping,29
CWA ASU-1A05 - Install Primary Steel,9,FS,Construct,CWA ASU-1A05 - Install Piling,1
CWA ASU-1A05 - Install Primary Steel,9,FS,Construct,CWA ASU-1A05 - Install Concrete,6
CWA ASU-1A05 - Install UG Conduit,8,FS,Construct,,
CWA ASU-1A05 - Set 101-C625 LOX FBT RELIEF DUMP TANK,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-C681 GOX BUFFER VESSEL,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-C725 LIN FBT RELIEF DUMP TANK,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
CWA ASU-1A05 - Set 101-E621 LOX AMBIENT VAPORISER,,FS,Construct,CWA ASU-1A05 - Install Primary Steel,9
